0.00884523,	0.00884521,	0.00889154,	0.00893721,	0.00895132,	0.0089503,	0.00894437,	0.00893811,	0.00892527,	0.0089003,	0.00886392,	0.00881997,	0.00877106,	0.0087167,	0.00865646,	0.00859026,	0.00851859,	0.00844216,	0.0083605,	0.00827294,	0.00817908,	0.00807872,	0.00797152,	0.00785764,	0.00773716,	0.00761025,	0.00747721,	0.00733824,	0.00719353,	0.0070433,	0.00688745,	0.00672598,	0.00655906,	0.00638681,	0.00620941,	0.00602705,	0.00583996,	0.00564838,	0.00545264,	0.00525304,	0.00504976,	0.00484302,	0.00463308,	0.0044202,	0.00420466,	0.00398675,	0.00376678,	0.00354499,	0.00332164,	0.00309706,	0.00287154,	0.00264532,	0.00241867,	0.00219185,	0.0019651,	0.00173867,	0.00151278,	0.00128764,	0.00106344,	0.000840405,	0.000618686,	0.000398441,	0.000179828,	-3.70062e-05,	-0.000251924,	-0.000464803,	-0.00067553,	-0.000884,	-0.00109012,	-0.00129381,	-0.00149499,	-0.0016936,	-0.00188959,	-0.00208289,	-0.00227347,	-0.0024613,	-0.00264636,	-0.00282863,	-0.00300809,	-0.00318475,	-0.0033586,	-0.00352965,	-0.00369791,	-0.0038634,	-0.00402615,	-0.00418617,	-0.00434351,	-0.0044982,	-0.00465029,	-0.00479981,	-0.00494682,	-0.00509138,	-0.00523354,	-0.00537337,	-0.00551093,	-0.00564631,	-0.00577957,	-0.00591079,	-0.00604007,	-0.00616749,	-0.00629315,	-0.00641715,	-0.00653959,	-0.00666059,	-0.00678026,	-0.00689871,	-0.00701609,	-0.0071325,	-0.0072481,	-0.007363,	-0.00747735,	-0.00759125,	-0.00770483,	-0.00781807,	-0.00793103,	-0.00804273,	
0.00882726,	0.00882724,	0.00885881,	0.00889279,	0.00890478,	0.00890224,	0.00889437,	0.00888433,	0.00886805,	0.00884134,	0.00880441,	0.00876007,	0.00871034,	0.00865523,	0.00859438,	0.00852776,	0.00845576,	0.00837882,	0.00829663,	0.00820866,	0.00811455,	0.00801407,	0.007907,	0.0077934,	0.00767337,	0.00754707,	0.00741474,	0.00727658,	0.00713277,	0.00698347,	0.00682865,	0.00666835,	0.00650269,	0.00633182,	0.00615591,	0.00597514,	0.00578974,	0.00559994,	0.00540605,	0.00520834,	0.00500702,	0.00480231,	0.00459445,	0.00438371,	0.00417035,	0.00395466,	0.00373694,	0.00351742,	0.00329638,	0.00307412,	0.00285091,	0.00262701,	0.00240268,	0.00217816,	0.00195371,	0.00172955,	0.00150591,	0.00128298,	0.00106099,	0.000840108,	0.000620513,	0.000402359,	0.000185801,	-2.9017e-05,	-0.000241959,	-0.000452903,	-0.000661736,	-0.000868356,	-0.00107267,	-0.00127459,	-0.00147405,	-0.00167098,	-0.00186533,	-0.00205703,	-0.00224606,	-0.00243237,	-0.00261596,	-0.00279679,	-0.00297485,	-0.00315014,	-0.00332266,	-0.00349242,	-0.00365942,	-0.00382368,	-0.00398522,	-0.00414408,	-0.00430027,	-0.00445385,	-0.00460484,	-0.0047533,	-0.00489926,	-0.0050428,	-0.00518396,	-0.00532281,	-0.00545942,	-0.00559385,	-0.00572619,	-0.00585651,	-0.00598489,	-0.00611144,	-0.00623624,	-0.00635939,	-0.006481,	-0.00660118,	-0.00672004,	-0.00683772,	-0.00695432,	-0.00706999,	-0.00718486,	-0.00729907,	-0.00741276,	-0.00752605,	-0.00763907,	-0.0077519,	-0.00786451,	-0.00797661,	
0.00881182,	0.0088118,	0.0088296,	0.00884856,	0.00885523,	0.00885134,	0.00884157,	0.00882766,	0.00880749,	0.0087787,	0.00874123,	0.00869666,	0.0086463,	0.00859044,	0.00852898,	0.00846197,	0.00838961,	0.00831213,	0.00822934,	0.00814087,	0.00804642,	0.00794579,	0.00783881,	0.00772551,	0.00760596,	0.0074803,	0.00734873,	0.00721142,	0.00706852,	0.00692018,	0.00676643,	0.00660733,	0.00644299,	0.00627356,	0.0060992,	0.00592009,	0.00573646,	0.00554853,	0.00535658,	0.00516085,	0.00496158,	0.00475898,	0.00455331,	0.0043448,	0.00413373,	0.00392037,	0.003705,	0.00348787,	0.00326924,	0.0030494,	0.00282862,	0.00260714,	0.00238522,	0.00216311,	0.00194105,	0.00171926,	0.00149796,	0.00127735,	0.00105763,	0.000838996,	0.000621604,	0.000405617,	0.000191186,	-2.15457e-05,	-0.000232446,	-0.000441393,	-0.000648274,	-0.000852986,	-0.00105544,	-0.00125555,	-0.00145324,	-0.00164844,	-0.00184111,	-0.00203118,	-0.00221862,	-0.00240339,	-0.00258547,	-0.00276483,	-0.00294147,	-0.00311538,	-0.00328655,	-0.003455,	-0.00362072,	-0.00378374,	-0.00394407,	-0.00410175,	-0.0042568,	-0.00440925,	-0.00455915,	-0.00470654,	-0.00485147,	-0.00499399,	-0.00513416,	-0.00527204,	-0.0054077,	-0.0055412,	-0.00567263,	-0.00580205,	-0.00592956,	-0.00605525,	-0.00617921,	-0.00630154,	-0.00642234,	-0.00654173,	-0.00665982,	-0.00677674,	-0.00689261,	-0.00700756,	-0.00712174,	-0.00723528,	-0.00734832,	-0.00746101,	-0.00757347,	-0.0076858,	-0.00779806,	-0.00791033,	
0.00878831,	0.00878829,	0.00879596,	0.0088036,	0.00880426,	0.00879755,	0.00878518,	0.00876778,	0.00874425,	0.00871335,	0.00867496,	0.00862989,	0.00857894,	0.00852241,	0.00846038,	0.00839291,	0.00832013,	0.00824213,	0.00815877,	0.00806982,	0.00797504,	0.00787426,	0.00776737,	0.00765437,	0.0075353,	0.00741029,	0.00727949,	0.00714305,	0.00700111,	0.00685378,	0.00670115,	0.00654329,	0.00638032,	0.00621238,	0.00603963,	0.00586225,	0.00568045,	0.00549445,	0.00530451,	0.00511085,	0.00491371,	0.00471331,	0.00450989,	0.00430371,	0.00409502,	0.00388407,	0.00367114,	0.00345648,	0.00324035,	0.00302302,	0.00280474,	0.00258578,	0.00236637,	0.00214675,	0.00192716,	0.00170782,	0.00148894,	0.00127072,	0.00105335,	0.00083703,	0.000621912,	0.000408158,	0.000195918,	-1.46675e-05,	-0.000223468,	-0.000430362,	-0.000635238,	-0.000837994,	-0.00103854,	-0.00123679,	-0.00143267,	-0.00162611,	-0.00181706,	-0.00200546,	-0.00219128,	-0.00237448,	-0.00255502,	-0.0027329,	-0.0029081,	-0.0030806,	-0.00325041,	-0.00341752,	-0.00358196,	-0.00374372,	-0.00390284,	-0.00405933,	-0.00421322,	-0.00436455,	-0.00451336,	-0.00465969,	-0.00480358,	-0.00494509,	-0.00508427,	-0.00522119,	-0.0053559,	-0.00548848,	-0.00561901,	-0.00574755,	-0.00587421,	-0.00599905,	-0.00612219,	-0.00624371,	-0.00636372,	-0.00648234,	-0.00659967,	-0.00671585,	-0.006831,	-0.00694525,	-0.00705874,	-0.00717162,	-0.00728402,	-0.0073961,	-0.00750798,	-0.0076198,	-0.00773169,	-0.0078438,	
0.00875483,	0.00875481,	0.00875582,	0.00875567,	0.00875093,	0.00874073,	0.00872534,	0.00870478,	0.00867838,	0.00864545,	0.00860588,	0.00856006,	0.00850844,	0.00845127,	0.00838867,	0.00832072,	0.00824748,	0.00816898,	0.00808513,	0.00799576,	0.0079007,	0.00779982,	0.00769303,	0.00758033,	0.00746175,	0.00733739,	0.00720737,	0.00707182,	0.00693086,	0.00678461,	0.00663315,	0.00647658,	0.00631503,	0.00614863,	0.00597754,	0.00580194,	0.00562203,	0.00543801,	0.00525013,	0.0050586,	0.00486366,	0.00466553,	0.00446445,	0.00426066,	0.0040544,	0.00384594,	0.00363552,	0.00342341,	0.00320985,	0.0029951,	0.00277941,	0.00256302,	0.00234619,	0.00212913,	0.00191208,	0.00169526,	0.00147886,	0.0012631,	0.00104815,	0.000834201,	0.000621417,	0.000409953,	0.000199959,	-8.42758e-06,	-0.000215077,	-0.000419869,	-0.000622694,	-0.000823449,	-0.00102204,	-0.00121839,	-0.00141243,	-0.00160407,	-0.00179327,	-0.00197998,	-0.00216414,	-0.00234574,	-0.00252473,	-0.0027011,	-0.00287482,	-0.0030459,	-0.00321433,	-0.0033801,	-0.00354324,	-0.00370374,	-0.00386162,	-0.00401692,	-0.00416966,	-0.00431986,	-0.00446757,	-0.00461283,	-0.00475569,	-0.00489619,	-0.00503438,	-0.00517034,	-0.00530412,	-0.00543579,	-0.00556542,	-0.0056931,	-0.0058189,	-0.00594292,	-0.00606524,	-0.00618597,	-0.0063052,	-0.00642306,	-0.00653965,	-0.0066551,	-0.00676953,	-0.00688308,	-0.00699589,	-0.0071081,	-0.00721985,	-0.00733129,	-0.00744258,	-0.00755387,	-0.00766532,	-0.00777714,	
0.00871207,	0.00871205,	0.00870881,	0.00870338,	0.00869422,	0.00868057,	0.00866216,	0.00863874,	0.00860983,	0.00857499,	0.00853412,	0.00848738,	0.00843502,	0.0083772,	0.00831403,	0.00824557,	0.00817187,	0.00809291,	0.00800864,	0.00791892,	0.00782365,	0.00772272,	0.00761607,	0.00750369,	0.00738561,	0.00726191,	0.00713268,	0.00699804,	0.0068581,	0.00671296,	0.00656273,	0.00640751,	0.00624742,	0.00608261,	0.00591323,	0.00573945,	0.00556147,	0.00537948,	0.00519371,	0.00500437,	0.00481169,	0.00461588,	0.00441719,	0.00421585,	0.00401209,	0.00380617,	0.00359833,	0.00338881,	0.00317788,	0.00296576,	0.00275271,	0.00253897,	0.00232476,	0.00211032,	0.00189587,	0.00168162,	0.00146776,	0.0012545,	0.00104203,	0.000830505,	0.000620105,	0.000410981,	0.00020328,	-2.86234e-06,	-0.000207317,	-0.000409965,	-0.000610698,	-0.000809414,	-0.00100602,	-0.00120044,	-0.00139259,	-0.0015824,	-0.00176982,	-0.0019548,	-0.00213729,	-0.00231726,	-0.00249467,	-0.00266951,	-0.00284175,	-0.00301139,	-0.00317842,	-0.00334284,	-0.00350466,	-0.00366388,	-0.00382053,	-0.00397463,	-0.0041262,	-0.00427527,	-0.00442189,	-0.00456608,	-0.00470789,	-0.00484738,	-0.0049846,	-0.0051196,	-0.00525245,	-0.00538321,	-0.00551196,	-0.00563878,	-0.00576374,	-0.00588693,	-0.00600845,	-0.00612839,	-0.00624685,	-0.00636395,	-0.0064798,	-0.00659452,	-0.00670824,	-0.00682108,	-0.0069332,	-0.00704472,	-0.0071558,	-0.0072666,	-0.00737727,	-0.00748797,	-0.00759892,	-0.00771031,	
0.00866117,	0.00866115,	0.0086552,	0.00864615,	0.00863352,	0.0086168,	0.00859563,	0.00856966,	0.00853853,	0.00850194,	0.00845975,	0.00841201,	0.00835885,	0.00830036,	0.00823662,	0.00816766,	0.00809351,	0.00801415,	0.00792952,	0.00783955,	0.00774414,	0.00764322,	0.00753675,	0.00742472,	0.00730716,	0.00718413,	0.00705572,	0.00692201,	0.00678312,	0.00663914,	0.00649018,	0.00633635,	0.00617778,	0.0060146,	0.00584697,	0.00567505,	0.00549903,	0.00531911,	0.00513549,	0.00494838,	0.004758,	0.00456457,	0.00436831,	0.00416946,	0.00396825,	0.00376491,	0.00355969,	0.00335282,	0.00314455,	0.00293512,	0.00272476,	0.0025137,	0.00230217,	0.00209039,	0.00187858,	0.00166694,	0.00145567,	0.00124496,	0.001035,	0.000825945,	0.000617971,	0.000411228,	0.000205859,	1.99975e-06,	-0.000200223,	-0.000400691,	-0.000599297,	-0.00079594,	-0.000990528,	-0.00118298,	-0.00137322,	-0.00156117,	-0.00174679,	-0.00193002,	-0.00211081,	-0.00228913,	-0.00246494,	-0.00263823,	-0.00280897,	-0.00297715,	-0.00314276,	-0.00330581,	-0.00346631,	-0.00362425,	-0.00377965,	-0.00393254,	-0.00408294,	-0.00423088,	-0.00437639,	-0.00451951,	-0.00466029,	-0.00479877,	-0.004935,	-0.00506905,	-0.00520097,	-0.00533083,	-0.0054587,	-0.00558465,	-0.00570878,	-0.00583115,	-0.00595187,	-0.00607102,	-0.00618872,	-0.00630506,	-0.00642017,	-0.00653415,	-0.00664715,	-0.00675928,	-0.00687068,	-0.0069815,	-0.00709189,	-0.00720201,	-0.00731201,	-0.00742209,	-0.00753244,	-0.00764329,	
0.00860317,	0.00860315,	0.00859543,	0.00858387,	0.00856858,	0.00854929,	0.00852571,	0.00849754,	0.00846447,	0.00842626,	0.0083828,	0.00833407,	0.0082801,	0.00822094,	0.00815663,	0.00808719,	0.00801262,	0.00793291,	0.00784801,	0.00775785,	0.00766238,	0.00756154,	0.0074553,	0.00734366,	0.00722665,	0.00710432,	0.00697674,	0.006844,	0.00670619,	0.0065634,	0.00641576,	0.00626336,	0.00610634,	0.00594483,	0.00577899,	0.00560897,	0.00543495,	0.00525712,	0.00507569,	0.00489084,	0.0047028,	0.00451178,	0.004318,	0.00412167,	0.00392304,	0.00372232,	0.00351975,	0.00331557,	0.00311,	0.00290328,	0.00269564,	0.0024873,	0.00227848,	0.0020694,	0.00186026,	0.00165127,	0.00144262,	0.00123449,	0.00102707,	0.000820528,	0.000615015,	0.000410685,	0.000207681,	6.13717e-06,	-0.000193822,	-0.00039208,	-0.00058853,	-0.00078307,	-0.000975611,	-0.00116607,	-0.00135437,	-0.00154045,	-0.00172424,	-0.00190569,	-0.00208476,	-0.00226141,	-0.0024356,	-0.00260732,	-0.00277654,	-0.00294325,	-0.00310744,	-0.00326911,	-0.00342827,	-0.00358491,	-0.00373906,	-0.00389074,	-0.00403996,	-0.00418676,	-0.00433116,	-0.00447321,	-0.00461295,	-0.00475042,	-0.00488567,	-0.00501876,	-0.00514976,	-0.00527871,	-0.0054057,	-0.0055308,	-0.00565409,	-0.00577564,	-0.00589556,	-0.00601393,	-0.00613085,	-0.00624643,	-0.00636079,	-0.00647403,	-0.00658629,	-0.00669769,	-0.00680837,	-0.00691846,	-0.00702813,	-0.00713752,	-0.00724682,	-0.00735619,	-0.00746586,	-0.00757605,	
0.00853895,	0.00853893,	0.00853005,	0.00851671,	0.00849939,	0.00847802,	0.00845243,	0.00842238,	0.00838762,	0.00834798,	0.00830334,	0.00825365,	0.00819889,	0.00813908,	0.00807424,	0.00800435,	0.00792942,	0.00784941,	0.00776431,	0.00767404,	0.00757858,	0.00747788,	0.00737193,	0.00726073,	0.00714431,	0.00702271,	0.00689599,	0.00676424,	0.00662754,	0.006486,	0.0063397,	0.00618878,	0.00603335,	0.00587354,	0.00570951,	0.00554142,	0.00536943,	0.00519373,	0.0050145,	0.00483195,	0.00464628,	0.00445769,	0.0042664,	0.00407263,	0.0038766,	0.00367853,	0.00347864,	0.00327716,	0.00307432,	0.00287034,	0.00266544,	0.00245984,	0.00225376,	0.0020474,	0.00184096,	0.00163464,	0.00142864,	0.00122313,	0.00101828,	0.000814266,	0.000611239,	0.00040935,	0.000208738,	9.53457e-06,	-0.000188136,	-0.000384159,	-0.000578427,	-0.000770843,	-0.000961313,	-0.00114976,	-0.0013361,	-0.00152027,	-0.00170221,	-0.00188187,	-0.0020592,	-0.00223417,	-0.00240673,	-0.00257686,	-0.00274455,	-0.00290977,	-0.00307253,	-0.00323281,	-0.00339061,	-0.00354596,	-0.00369884,	-0.0038493,	-0.00399733,	-0.00414298,	-0.00428628,	-0.00442725,	-0.00456594,	-0.0047024,	-0.00483667,	-0.00496881,	-0.00509888,	-0.00522693,	-0.00535304,	-0.00547728,	-0.00559972,	-0.00572046,	-0.00583957,	-0.00595715,	-0.0060733,	-0.00618811,	-0.00630171,	-0.0064142,	-0.0065257,	-0.00663635,	-0.00674628,	-0.00685562,	-0.00696453,	-0.00707316,	-0.00718168,	-0.00729029,	-0.00739919,	-0.0075086,	
0.00846922,	0.0084692,	0.00845954,	0.00844494,	0.00842608,	0.00840308,	0.00837584,	0.00834422,	0.00830803,	0.00826714,	0.00822144,	0.00817086,	0.00811537,	0.00805496,	0.00798962,	0.00791933,	0.00784409,	0.00776386,	0.00767862,	0.00758832,	0.00749295,	0.00739246,	0.00728686,	0.00717614,	0.00706034,	0.00693951,	0.00681369,	0.00668296,	0.00654741,	0.00640714,	0.00626223,	0.00611281,	0.005959,	0.00580093,	0.00563875,	0.0054726,	0.00530266,	0.0051291,	0.00495211,	0.00477187,	0.00458859,	0.00440246,	0.00421369,	0.00402249,	0.00382908,	0.00363367,	0.00343647,	0.00323772,	0.00303762,	0.0028364,	0.00263426,	0.00243142,	0.00222808,	0.00202446,	0.00182074,	0.00161712,	0.00141377,	0.00121089,	0.00100864,	0.000807174,	0.000606654,	0.000407225,	0.000209024,	1.2182e-05,	-0.00018318,	-0.000376948,	-0.000569016,	-0.000759286,	-0.000947668,	-0.00113408,	-0.00131844,	-0.0015007,	-0.00168077,	-0.00185862,	-0.0020342,	-0.00220746,	-0.00237837,	-0.00254691,	-0.00271305,	-0.00287678,	-0.00303808,	-0.00319696,	-0.00335341,	-0.00350744,	-0.00365906,	-0.00380828,	-0.00395513,	-0.00409963,	-0.00424181,	-0.0043817,	-0.00451934,	-0.00465479,	-0.00478807,	-0.00491925,	-0.00504839,	-0.00517553,	-0.00530076,	-0.00542414,	-0.00554574,	-0.00566565,	-0.00578395,	-0.00590074,	-0.0060161,	-0.00613013,	-0.00624296,	-0.00635468,	-0.00646541,	-0.00657529,	-0.00668443,	-0.00679299,	-0.00690109,	-0.00700892,	-0.00711662,	-0.00722439,	-0.00733242,	-0.00744093,	
0.0083946,	0.00839458,	0.00838439,	0.00836889,	0.00834889,	0.00832461,	0.00829605,	0.00826314,	0.00822577,	0.00818381,	0.00813717,	0.00808581,	0.00802967,	0.00796872,	0.00790294,	0.00783232,	0.00775683,	0.00767644,	0.00759114,	0.00750088,	0.00740566,	0.00730545,	0.00720025,	0.00709007,	0.00697495,	0.00685491,	0.00673003,	0.00660036,	0.006466,	0.00632702,	0.00618354,	0.00603565,	0.00588349,	0.00572718,	0.00556686,	0.00540269,	0.00523482,	0.00506342,	0.00488868,	0.00471077,	0.00452989,	0.00434622,	0.00415998,	0.00397137,	0.00378059,	0.00358785,	0.00339336,	0.00319734,	0.00299999,	0.00280153,	0.00260216,	0.00240209,	0.00220151,	0.00200063,	0.00179964,	0.00159872,	0.00139806,	0.00119782,	0.000998168,	0.000799269,	0.00060127,	0.000404316,	0.000208541,	1.40744e-05,	-0.000178964,	-0.000370462,	-0.000560315,	-0.000748424,	-0.000934702,	-0.00111907,	-0.00130144,	-0.00148176,	-0.00165995,	-0.00183598,	-0.00200979,	-0.00218134,	-0.00235059,	-0.00251752,	-0.0026821,	-0.00284432,	-0.00300417,	-0.00316163,	-0.00331672,	-0.00346943,	-0.00361977,	-0.00376775,	-0.00391341,	-0.00405675,	-0.00419781,	-0.00433661,	-0.00447321,	-0.00460763,	-0.00473992,	-0.00487015,	-0.00499834,	-0.00512458,	-0.00524892,	-0.00537143,	-0.00549219,	-0.00561127,	-0.00572875,	-0.00584472,	-0.00595929,	-0.00607253,	-0.00618457,	-0.0062955,	-0.00640544,	-0.00651451,	-0.00662285,	-0.00673058,	-0.00683785,	-0.00694482,	-0.00705164,	-0.00715849,	-0.00726558,	-0.00737309,	
