0.00300084,	0.00300077,	0.00300715,	0.00301028,	0.00300753,	0.00300154,	0.00299386,	0.00298392,	0.0029712,	0.00295577,	0.00293793,	0.00291781,	0.00289537,	0.00287063,	0.0028436,	0.0028143,	0.00278273,	0.0027489,	0.00271283,	0.00267453,	0.00263403,	0.00259135,	0.00254651,	0.00249957,	0.00245054,	0.00239947,	0.00234641,	0.0022914,	0.00223451,	0.00217579,	0.00211531,	0.00205314,	0.00198935,	0.00192403,	0.00185725,	0.0017891,	0.00171966,	0.00164902,	0.00157728,	0.00150452,	0.00143083,	0.00135631,	0.00128105,	0.00120514,	0.00112867,	0.00105172,	0.000974385,	0.000896748,	0.00081889,	0.000740891,	0.000662827,	0.000584772,	0.000506797,	0.00042897,	0.000351355,	0.000274014,	0.000197004,	0.000120381,	4.41969e-05,	-3.15007e-05,	-0.000106666,	-0.000181257,	-0.000255235,	-0.000328563,	-0.000401208,	-0.000473139,	-0.000544328,	-0.000614751,	-0.000684385,	-0.000753209,	-0.000821205,	-0.000888358,	-0.000954654,	-0.00102008,	-0.00108463,	-0.00114829,	-0.00121107,	-0.00127294,	-0.00133392,	-0.001394,	-0.00145318,	-0.00151147,	-0.00156886,	-0.00162537,	-0.001681,	-0.00173575,	-0.00178964,	-0.00184268,	-0.00189487,	-0.00194624,	-0.00199679,	-0.00204654,	-0.00209551,	-0.00214372,	-0.00219118,	-0.00223791,	-0.00228395,	-0.0023293,	-0.002374,	-0.00241808,	-0.00246155,	-0.00250445,	-0.00254681,	-0.00258866,	-0.00263004,	-0.00267097,	-0.00271151,	-0.00275167,	-0.00279152,	-0.00283107,	-0.00287036,	-0.00290944,	-0.00294833,	-0.00298702,	-0.00302553,	-0.00306363,	
0.00301094,	0.00301087,	0.00301542,	0.00301781,	0.00301459,	0.00300796,	0.00299956,	0.00298903,	0.00297583,	0.00296,	0.0029418,	0.00292134,	0.00289862,	0.00287364,	0.0028464,	0.00281692,	0.0027852,	0.00275127,	0.00271511,	0.00267676,	0.00263623,	0.00259355,	0.00254874,	0.00250185,	0.0024529,	0.00240193,	0.00234899,	0.00229413,	0.0022374,	0.00217887,	0.0021186,	0.00205665,	0.00199311,	0.00192805,	0.00186154,	0.00179368,	0.00172454,	0.00165422,	0.0015828,	0.00151037,	0.00143703,	0.00136286,	0.00128796,	0.00121241,	0.00113631,	0.00105973,	0.000982774,	0.000905514,	0.000828035,	0.000750415,	0.00067273,	0.000595054,	0.000517456,	0.000440005,	0.000362764,	0.000285794,	0.000209153,	0.000132895,	5.70732e-05,	-1.82657e-05,	-9.3076e-05,	-0.000167316,	-0.000240946,	-0.00031393,	-0.000386235,	-0.00045783,	-0.000528687,	-0.000598782,	-0.00066809,	-0.000736593,	-0.000804271,	-0.000871108,	-0.000937092,	-0.00100221,	-0.00106645,	-0.00112981,	-0.00119228,	-0.00125386,	-0.00131454,	-0.00137432,	-0.0014332,	-0.00149119,	-0.00154829,	-0.0016045,	-0.00165983,	-0.00171429,	-0.00176789,	-0.00182063,	-0.00187252,	-0.00192359,	-0.00197384,	-0.00202329,	-0.00207195,	-0.00211985,	-0.002167,	-0.00221342,	-0.00225914,	-0.00230418,	-0.00234856,	-0.00239231,	-0.00243545,	-0.00247802,	-0.00252005,	-0.00256157,	-0.00260261,	-0.00264322,	-0.00268342,	-0.00272326,	-0.00276277,	-0.00280201,	-0.002841,	-0.0028798,	-0.00291843,	-0.00295692,	-0.0029953,	-0.00303343,	
0.00302153,	0.00302146,	0.00302317,	0.00302307,	0.00301898,	0.00301188,	0.00300275,	0.00299148,	0.00297773,	0.0029615,	0.00294295,	0.00292216,	0.00289915,	0.00287392,	0.00284647,	0.00281681,	0.00278496,	0.00275091,	0.00271468,	0.00267628,	0.00263574,	0.00259308,	0.00254833,	0.00250151,	0.00245266,	0.00240183,	0.00234905,	0.00229438,	0.00223786,	0.00217957,	0.00211955,	0.00205789,	0.00199465,	0.0019299,	0.00186374,	0.00179623,	0.00172746,	0.00165752,	0.0015865,	0.00151448,	0.00144155,	0.00136781,	0.00129334,	0.00121823,	0.00114257,	0.00106644,	0.000989923,	0.000913111,	0.00083608,	0.000758907,	0.000681668,	0.000604435,	0.000527277,	0.000450263,	0.000373454,	0.000296913,	0.000220695,	0.000144856,	6.94472e-05,	-5.48421e-06,	-7.98929e-05,	-0.000153737,	-0.000226977,	-0.000299577,	-0.000371503,	-0.000442726,	-0.000513217,	-0.00058295,	-0.000651903,	-0.000720055,	-0.000787387,	-0.000853884,	-0.000919532,	-0.000984318,	-0.00104823,	-0.00111127,	-0.00117342,	-0.00123468,	-0.00129504,	-0.00135451,	-0.00141309,	-0.00147077,	-0.00152757,	-0.00158347,	-0.0016385,	-0.00169266,	-0.00174595,	-0.00179839,	-0.00184999,	-0.00190075,	-0.0019507,	-0.00199985,	-0.00204821,	-0.0020958,	-0.00214265,	-0.00218877,	-0.00223418,	-0.0022789,	-0.00232297,	-0.00236641,	-0.00240924,	-0.00245149,	-0.0024932,	-0.0025344,	-0.00257513,	-0.00261542,	-0.0026553,	-0.00269483,	-0.00273404,	-0.00277297,	-0.00281168,	-0.00285019,	-0.00288857,	-0.00292685,	-0.00296507,	-0.00300321,	
0.00302912,	0.00302905,	0.00302849,	0.00302617,	0.00302094,	0.00301317,	0.00300332,	0.00299132,	0.00297701,	0.00296035,	0.00294145,	0.00292034,	0.00289704,	0.00287156,	0.0028439,	0.00281408,	0.00278209,	0.00274795,	0.00271166,	0.00267323,	0.0026327,	0.00259008,	0.0025454,	0.00249869,	0.00244998,	0.00239931,	0.00234673,	0.00229228,	0.00223602,	0.002178,	0.00211829,	0.00205696,	0.00199407,	0.0019297,	0.00186393,	0.00179683,	0.0017285,	0.001659,	0.00158844,	0.00151689,	0.00144444,	0.00137119,	0.00129722,	0.00122261,	0.00114745,	0.00107183,	0.000995825,	0.000919523,	0.000843001,	0.000766335,	0.000689601,	0.000612869,	0.000536208,	0.000459685,	0.000383363,	0.000307301,	0.000231557,	0.000156185,	8.1235e-05,	6.7556e-06,	-6.72086e-05,	-0.000140616,	-0.000213426,	-0.000285605,	-0.000357118,	-0.000427934,	-0.000498026,	-0.000567367,	-0.000635935,	-0.000703709,	-0.000770671,	-0.000836803,	-0.000902092,	-0.000966526,	-0.00103009,	-0.00109279,	-0.0011546,	-0.00121553,	-0.00127556,	-0.00133471,	-0.00139297,	-0.00145033,	-0.00150681,	-0.00156241,	-0.00161713,	-0.00167098,	-0.00172396,	-0.0017761,	-0.00182739,	-0.00187785,	-0.0019275,	-0.00197635,	-0.00202441,	-0.0020717,	-0.00211825,	-0.00216406,	-0.00220917,	-0.00225359,	-0.00229736,	-0.00234049,	-0.00238301,	-0.00242496,	-0.00246637,	-0.00250727,	-0.00254769,	-0.00258767,	-0.00262725,	-0.00266648,	-0.00270539,	-0.00274404,	-0.00278246,	-0.00282071,	-0.00285884,	-0.00289689,	-0.00293494,	-0.00297298,	
0.00303288,	0.00303281,	0.00303069,	0.00302673,	0.00302041,	0.00301188,	0.00300131,	0.00298864,	0.00297378,	0.00295669,	0.00293742,	0.00291599,	0.00289242,	0.00286671,	0.00283886,	0.00280888,	0.00277678,	0.00274255,	0.00270622,	0.00266779,	0.00262729,	0.00258473,	0.00254015,	0.00249357,	0.00244503,	0.00239456,	0.00234221,	0.00228802,	0.00223205,	0.00217435,	0.002115,	0.00205404,	0.00199155,	0.0019276,	0.00186228,	0.00179565,	0.00172779,	0.0016588,	0.00158875,	0.00151772,	0.00144582,	0.00137311,	0.00129968,	0.00122563,	0.00115104,	0.00107598,	0.00100054,	0.000924806,	0.000848847,	0.000772743,	0.000696565,	0.000620386,	0.000544272,	0.00046829,	0.000392502,	0.000316966,	0.000241741,	0.000166879,	9.24303e-05,	1.84435e-05,	-5.5037e-05,	-0.00012797,	-0.000200315,	-0.000272038,	-0.000343103,	-0.000413482,	-0.000483145,	-0.000552066,	-0.000620222,	-0.000687593,	-0.000754159,	-0.000819904,	-0.000884814,	-0.000948875,	-0.00101208,	-0.00107441,	-0.00113587,	-0.00119645,	-0.00125615,	-0.00131496,	-0.00137288,	-0.00142992,	-0.00148607,	-0.00154135,	-0.00159575,	-0.00164929,	-0.00170197,	-0.0017538,	-0.00180478,	-0.00185494,	-0.00190429,	-0.00195283,	-0.0020006,	-0.00204759,	-0.00209384,	-0.00213935,	-0.00218417,	-0.00222829,	-0.00227176,	-0.00231459,	-0.00235682,	-0.00239848,	-0.00243959,	-0.00248019,	-0.00252031,	-0.00256,	-0.00259929,	-0.00263823,	-0.00267685,	-0.00271521,	-0.00275336,	-0.00279134,	-0.00282921,	-0.00286704,	-0.00290489,	-0.00294278,	
0.00303281,	0.00303274,	0.00302963,	0.00302452,	0.00301729,	0.00300803,	0.00299679,	0.00298351,	0.00296813,	0.00295062,	0.002931,	0.00290927,	0.00288544,	0.00285951,	0.00283149,	0.00280138,	0.00276917,	0.00273489,	0.00269854,	0.00266013,	0.00261968,	0.00257721,	0.00253276,	0.00248634,	0.00243799,	0.00238775,	0.00233566,	0.00228177,	0.00222613,	0.0021688,	0.00210983,	0.00204929,	0.00198724,	0.00192376,	0.00185892,	0.0017928,	0.00172548,	0.00165703,	0.00158754,	0.00151709,	0.00144577,	0.00137365,	0.00130083,	0.00122739,	0.0011534,	0.00107896,	0.00100414,	0.000929015,	0.000853668,	0.000778171,	0.000702597,	0.000627016,	0.000551494,	0.000476097,	0.000400885,	0.000325917,	0.000251251,	0.000176938,	0.00010303,	2.95726e-05,	-4.33887e-05,	-0.000115812,	-0.00018766,	-0.000258894,	-0.000329483,	-0.000399394,	-0.0004686,	-0.000537075,	-0.000604795,	-0.000671738,	-0.000737886,	-0.000803223,	-0.000867732,	-0.000931401,	-0.00099422,	-0.00105618,	-0.00111727,	-0.00117749,	-0.00123683,	-0.00129529,	-0.00135287,	-0.00140957,	-0.0014654,	-0.00152035,	-0.00157443,	-0.00162765,	-0.00168001,	-0.00173153,	-0.00178221,	-0.00183206,	-0.0018811,	-0.00192935,	-0.00197681,	-0.00202351,	-0.00206946,	-0.00211469,	-0.00215921,	-0.00220304,	-0.00224622,	-0.00228876,	-0.0023307,	-0.00237206,	-0.00241288,	-0.0024532,	-0.00249303,	-0.00253243,	-0.00257144,	-0.00261009,	-0.00264843,	-0.00268651,	-0.00272437,	-0.00276209,	-0.0027997,	-0.00283728,	-0.00287491,	-0.0029126,	
0.00302917,	0.0030291,	0.00302536,	0.00301947,	0.00301153,	0.00300164,	0.0029898,	0.00297599,	0.00296014,	0.00294225,	0.00292229,	0.00290029,	0.00287623,	0.00285011,	0.00282193,	0.00279171,	0.00275943,	0.00272512,	0.00268877,	0.0026504,	0.00261003,	0.00256768,	0.00252338,	0.00247715,	0.00242903,	0.00237905,	0.00232726,	0.0022737,	0.00221842,	0.00216148,	0.00210294,	0.00204285,	0.00198128,	0.00191831,	0.001854,	0.00178843,	0.00172167,	0.00165381,	0.00158493,	0.00151509,	0.0014444,	0.00137292,	0.00130075,	0.00122795,	0.00115462,	0.00108084,	0.00100667,	0.000932203,	0.000857509,	0.000782662,	0.000707733,	0.00063279,	0.000557899,	0.000483125,	0.000408528,	0.000334166,	0.000260095,	0.000186367,	0.000113033,	4.01388e-05,	-3.22709e-05,	-0.000104154,	-0.000175473,	-0.000246191,	-0.000316274,	-0.000385692,	-0.000454416,	-0.000522419,	-0.000589679,	-0.000656173,	-0.000721882,	-0.00078679,	-0.00085088,	-0.00091414,	-0.000976559,	-0.00103813,	-0.00109883,	-0.00115868,	-0.00121765,	-0.00127575,	-0.00133298,	-0.00138934,	-0.00144482,	-0.00149944,	-0.00155319,	-0.00160609,	-0.00165813,	-0.00170933,	-0.0017597,	-0.00180925,	-0.00185799,	-0.00190593,	-0.0019531,	-0.0019995,	-0.00204516,	-0.00209009,	-0.00213432,	-0.00217787,	-0.00222076,	-0.00226302,	-0.00230467,	-0.00234575,	-0.00238629,	-0.00242632,	-0.00246587,	-0.00250499,	-0.00254371,	-0.00258208,	-0.00262013,	-0.00265793,	-0.00269552,	-0.00273296,	-0.0027703,	-0.00280762,	-0.002845,	-0.00288244,	
0.00302223,	0.00302216,	0.00301804,	0.00301163,	0.00300316,	0.00299276,	0.00298043,	0.00296615,	0.00294991,	0.00293167,	0.00291142,	0.00288917,	0.0028649,	0.00283862,	0.00281033,	0.00278002,	0.0027477,	0.00271337,	0.00267705,	0.00263876,	0.0025985,	0.00255629,	0.00251217,	0.00246616,	0.0024183,	0.00236861,	0.00231715,	0.00226395,	0.00220906,	0.00215255,	0.00209446,	0.00203486,	0.00197381,	0.00191137,	0.00184763,	0.00178264,	0.00171649,	0.00164926,	0.00158101,	0.00151183,	0.0014418,	0.001371,	0.0012995,	0.0012274,	0.00115476,	0.00108167,	0.00100819,	0.00093442,	0.000860416,	0.000786255,	0.000712006,	0.000637738,	0.000563514,	0.000489397,	0.000415449,	0.000341726,	0.000268282,	0.000195171,	0.000122442,	5.01406e-05,	-2.16883e-05,	-9.30036e-05,	-0.000163766,	-0.000233941,	-0.000303493,	-0.000372393,	-0.000440611,	-0.000508121,	-0.000574899,	-0.000640923,	-0.000706174,	-0.000770634,	-0.000834288,	-0.000897123,	-0.000959125,	-0.00102029,	-0.0010806,	-0.00114006,	-0.00119865,	-0.00125638,	-0.00131325,	-0.00136925,	-0.00142439,	-0.00147866,	-0.00153208,	-0.00158465,	-0.00163637,	-0.00168725,	-0.00173731,	-0.00178654,	-0.00183498,	-0.00188262,	-0.00192949,	-0.0019756,	-0.00202097,	-0.00206561,	-0.00210955,	-0.00215282,	-0.00219542,	-0.0022374,	-0.00227877,	-0.00231957,	-0.00235983,	-0.00239958,	-0.00243885,	-0.00247769,	-0.00251613,	-0.00255421,	-0.00259199,	-0.0026295,	-0.0026668,	-0.00270395,	-0.00274102,	-0.00277805,	-0.00281515,	-0.00285231,	
0.00301229,	0.00301221,	0.00300787,	0.00300111,	0.00299227,	0.00298146,	0.00296874,	0.0029541,	0.00293752,	0.00291899,	0.00289849,	0.00287603,	0.0028516,	0.00282519,	0.0027968,	0.00276643,	0.0027341,	0.0026998,	0.00266354,	0.00262534,	0.00258521,	0.00254318,	0.00249927,	0.00245351,	0.00240593,	0.00235656,	0.00230546,	0.00225265,	0.00219819,	0.00214213,	0.00208453,	0.00202544,	0.00196493,	0.00190307,	0.00183992,	0.00177555,	0.00171004,	0.00164346,	0.00157588,	0.00150739,	0.00143805,	0.00136796,	0.00129718,	0.00122579,	0.00115388,	0.00108151,	0.00100877,	0.000935716,	0.000862434,	0.000788991,	0.000715454,	0.00064189,	0.000568363,	0.000494935,	0.000421665,	0.00034861,	0.000275823,	0.000203357,	0.00013126,	5.95786e-05,	-1.16433e-05,	-8.23647e-05,	-0.000152547,	-0.000222154,	-0.000291153,	-0.000359512,	-0.000427202,	-0.000494198,	-0.000560474,	-0.00062601,	-0.000690784,	-0.00075478,	-0.000817982,	-0.000880375,	-0.000941948,	-0.00100269,	-0.00106259,	-0.00112165,	-0.00117986,	-0.00123721,	-0.0012937,	-0.00134934,	-0.00140412,	-0.00145805,	-0.00151113,	-0.00156336,	-0.00161475,	-0.00166531,	-0.00171505,	-0.00176398,	-0.00181211,	-0.00185945,	-0.00190602,	-0.00195184,	-0.00199691,	-0.00204127,	-0.00208493,	-0.00212791,	-0.00217023,	-0.00221193,	-0.00225302,	-0.00229355,	-0.00233353,	-0.00237299,	-0.00241199,	-0.00245055,	-0.0024887,	-0.0025265,	-0.00256399,	-0.00260122,	-0.00263823,	-0.00267508,	-0.00271185,	-0.00274858,	-0.00278536,	-0.00282221,	
0.00299959,	0.00299951,	0.00299504,	0.00298807,	0.00297896,	0.00296787,	0.00295485,	0.00293992,	0.00292307,	0.0029043,	0.00288361,	0.00286098,	0.00283642,	0.00280992,	0.00278147,	0.00275109,	0.00271876,	0.00268452,	0.00264835,	0.00261028,	0.00257031,	0.00252849,	0.00248482,	0.00243933,	0.00239206,	0.00234304,	0.00229231,	0.00223992,	0.00218591,	0.00213034,	0.00207325,	0.00201471,	0.00195477,	0.00189351,	0.00183098,	0.00176725,	0.00170241,	0.00163651,	0.00156963,	0.00150185,	0.00143324,	0.00136388,	0.00129384,	0.0012232,	0.00115204,	0.00108043,	0.00100843,	0.000936137,	0.000863605,	0.000790907,	0.000718109,	0.000645278,	0.000572475,	0.000499762,	0.000427196,	0.000354834,	0.00028273,	0.000210933,	0.000139493,	6.84556e-05,	-2.13594e-06,	-7.22407e-05,	-0.00014182,	-0.000210839,	-0.000279263,	-0.000347061,	-0.000414204,	-0.000480667,	-0.000546424,	-0.000611453,	-0.000675735,	-0.000739251,	-0.000801984,	-0.000863922,	-0.000925052,	-0.000985362,	-0.00104484,	-0.00110349,	-0.0011613,	-0.00121826,	-0.00127437,	-0.00132964,	-0.00138406,	-0.00143763,	-0.00149036,	-0.00154225,	-0.00159332,	-0.00164355,	-0.00169297,	-0.00174159,	-0.00178941,	-0.00183645,	-0.00188272,	-0.00192824,	-0.00197303,	-0.0020171,	-0.00206047,	-0.00210317,	-0.00214521,	-0.00218663,	-0.00222745,	-0.00226769,	-0.0023074,	-0.00234659,	-0.0023853,	-0.00242358,	-0.00246145,	-0.00249897,	-0.00253617,	-0.00257309,	-0.00260981,	-0.00264635,	-0.0026828,	-0.00271921,	-0.00275565,	-0.00279214,	
0.00298436,	0.00298429,	0.00297976,	0.00297266,	0.00296339,	0.00295209,	0.00293886,	0.00292372,	0.00290667,	0.00288773,	0.00286689,	0.00284414,	0.00281949,	0.00279293,	0.00276446,	0.00273409,	0.00270182,	0.00266765,	0.0026316,	0.00259369,	0.00255392,	0.00251232,	0.00246892,	0.00242373,	0.0023768,	0.00232815,	0.00227784,	0.00222589,	0.00217236,	0.00211729,	0.00206074,	0.00200277,	0.00194343,	0.00188278,	0.0018209,	0.00175784,	0.00169368,	0.00162849,	0.00156233,	0.00149529,	0.00142743,	0.00135883,	0.00128955,	0.00121969,	0.0011493,	0.00107846,	0.00100725,	0.00093573,	0.000863971,	0.000792041,	0.000720006,	0.00064793,	0.000575875,	0.000503899,	0.000432061,	0.000360415,	0.000289014,	0.00021791,	0.000147148,	7.67758e-05,	6.83539e-06,	-6.26324e-05,	-0.000131589,	-0.0002,	-0.00026783,	-0.000335049,	-0.000401628,	-0.00046754,	-0.000532762,	-0.000597269,	-0.000661043,	-0.000724064,	-0.000786316,	-0.000847786,	-0.000908459,	-0.000968325,	-0.00102738,	-0.0010856,	-0.001143,	-0.00119956,	-0.00125529,	-0.00131018,	-0.00136422,	-0.00141744,	-0.00146982,	-0.00152136,	-0.00157209,	-0.001622,	-0.00167109,	-0.00171939,	-0.0017669,	-0.00181364,	-0.00185961,	-0.00190484,	-0.00194933,	-0.00199312,	-0.0020362,	-0.00207862,	-0.00212039,	-0.00216153,	-0.00220207,	-0.00224204,	-0.00228146,	-0.00232038,	-0.00235881,	-0.0023968,	-0.00243439,	-0.00247161,	-0.00250852,	-0.00254514,	-0.00258154,	-0.00261777,	-0.00265388,	-0.00268994,	-0.00272602,	-0.00276212,	
