0.00350516,	0.00350515,	0.0035104,	0.00351136,	0.00350597,	0.00349716,	0.00348672,	0.00347437,	0.00345946,	0.00344171,	0.00342146,	0.00339889,	0.00337403,	0.00334683,	0.00331728,	0.00328539,	0.00325116,	0.00321457,	0.00317563,	0.00313432,	0.00309065,	0.00304463,	0.00299627,	0.00294561,	0.00289267,	0.00283748,	0.00278007,	0.00272049,	0.00265878,	0.002595,	0.00252921,	0.00246148,	0.00239188,	0.00232048,	0.00224738,	0.00217265,	0.00209638,	0.00201868,	0.00193964,	0.00185936,	0.00177794,	0.00169548,	0.0016121,	0.00152788,	0.00144294,	0.00135738,	0.0012713,	0.00118481,	0.00109799,	0.00101095,	0.000923774,	0.000836561,	0.000749394,	0.000662356,	0.000575529,	0.000488989,	0.000402808,	0.000317056,	0.000231797,	0.000147094,	6.30032e-05,	-2.04211e-05,	-0.000103129,	-0.000185075,	-0.000266216,	-0.000346513,	-0.00042593,	-0.000504436,	-0.000582,	-0.000658598,	-0.000734207,	-0.000808806,	-0.000882378,	-0.000954909,	-0.00102639,	-0.0010968,	-0.00116615,	-0.00123442,	-0.00130161,	-0.00136773,	-0.00143276,	-0.00149673,	-0.00155962,	-0.00162145,	-0.00168223,	-0.00174197,	-0.00180067,	-0.00185835,	-0.00191503,	-0.00197073,	-0.00202545,	-0.00207922,	-0.00213205,	-0.00218398,	-0.00223503,	-0.00228521,	-0.00233456,	-0.0023831,	-0.00243086,	-0.00247788,	-0.00252418,	-0.0025698,	-0.00261477,	-0.00265913,	-0.00270291,	-0.00274616,	-0.00278891,	-0.00283121,	-0.00287309,	-0.0029146,	-0.00295576,	-0.00299662,	-0.00303721,	-0.00307752,	-0.0031176,	-0.00315731,	
0.00351932,	0.00351931,	0.00352374,	0.00352475,	0.00351892,	0.00350932,	0.00349816,	0.00348526,	0.00346987,	0.00345168,	0.003431,	0.00340805,	0.00338285,	0.00335535,	0.00332553,	0.0032934,	0.00325895,	0.00322218,	0.00318308,	0.00314163,	0.00309784,	0.00305172,	0.0030033,	0.00295258,	0.00289961,	0.0028444,	0.002787,	0.00272744,	0.00266577,	0.00260205,	0.00253633,	0.00246868,	0.00239918,	0.00232789,	0.00225491,	0.00218032,	0.00210421,	0.00202667,	0.0019478,	0.00186769,	0.00178646,	0.0017042,	0.00162102,	0.00153701,	0.00145229,	0.00136695,	0.0012811,	0.00119483,	0.00110824,	0.00102144,	0.000934506,	0.000847533,	0.000760609,	0.000673816,	0.000587235,	0.000500941,	0.000415008,	0.000329504,	0.000244493,	0.000160039,	7.61963e-05,	-6.97968e-06,	-8.94395e-05,	-0.000171137,	-0.00025203,	-0.000332078,	-0.000411247,	-0.000489504,	-0.00056682,	-0.000643169,	-0.000718528,	-0.000792876,	-0.000866197,	-0.000938476,	-0.0010097,	-0.00107986,	-0.00114895,	-0.00121696,	-0.00128389,	-0.00134974,	-0.00141451,	-0.00147821,	-0.00154083,	-0.00160238,	-0.00166288,	-0.00172233,	-0.00178074,	-0.00183813,	-0.00189451,	-0.0019499,	-0.00200431,	-0.00205777,	-0.00211028,	-0.00216189,	-0.0022126,	-0.00226244,	-0.00231144,	-0.00235963,	-0.00240703,	-0.00245368,	-0.00249961,	-0.00254485,	-0.00258944,	-0.00263342,	-0.00267681,	-0.00271967,	-0.00276203,	-0.00280395,	-0.00284545,	-0.00288658,	-0.00292739,	-0.00296793,	-0.00300823,	-0.00304832,	-0.00308825,	-0.00312799,	
0.00353363,	0.00353363,	0.00353541,	0.00353429,	0.00352786,	0.00351797,	0.00350622,	0.00349259,	0.00347658,	0.00345796,	0.00343692,	0.00341361,	0.00338807,	0.00336026,	0.00333016,	0.00329779,	0.00326312,	0.00322616,	0.00318689,	0.0031453,	0.00310141,	0.00305521,	0.00300673,	0.00295599,	0.002903,	0.00284781,	0.00279045,	0.00273096,	0.00266937,	0.00260576,	0.00254017,	0.00247267,	0.00240334,	0.00233225,	0.00225947,	0.0021851,	0.00210922,	0.00203193,	0.00195333,	0.0018735,	0.00179255,	0.00171059,	0.00162771,	0.00154402,	0.00145961,	0.00137459,	0.00128907,	0.00120313,	0.00111688,	0.00103041,	0.00094381,	0.000857173,	0.000770584,	0.000684126,	0.000597877,	0.000511914,	0.000426309,	0.000341131,	0.000256444,	0.00017231,	8.87853e-05,	5.92382e-06,	-7.62246e-05,	-0.000157614,	-0.000238201,	-0.000317948,	-0.000396817,	-0.000474777,	-0.000551799,	-0.000627856,	-0.000702925,	-0.000776986,	-0.000850021,	-0.000922015,	-0.000992955,	-0.00106283,	-0.00113164,	-0.00119937,	-0.00126602,	-0.00133158,	-0.00139607,	-0.00145948,	-0.00152182,	-0.00158308,	-0.00164329,	-0.00170245,	-0.00176057,	-0.00181766,	-0.00187374,	-0.00192882,	-0.00198292,	-0.00203606,	-0.00208826,	-0.00213954,	-0.00218993,	-0.00223944,	-0.00228811,	-0.00233595,	-0.00238301,	-0.00242931,	-0.00247489,	-0.00251977,	-0.002564,	-0.0026076,	-0.00265063,	-0.00269312,	-0.00273512,	-0.00277667,	-0.00281781,	-0.0028586,	-0.00289908,	-0.0029393,	-0.00297932,	-0.00301918,	-0.00305895,	-0.00309866,	
0.00354441,	0.0035444,	0.00354386,	0.0035406,	0.00353331,	0.00352304,	0.00351073,	0.00349642,	0.00347981,	0.00346075,	0.00343934,	0.00341569,	0.00338981,	0.0033617,	0.00333134,	0.00329872,	0.00326385,	0.0032267,	0.00318727,	0.00314557,	0.00310158,	0.00305532,	0.00300681,	0.00295606,	0.0029031,	0.00284797,	0.00279068,	0.0027313,	0.00266985,	0.00260639,	0.00254099,	0.00247371,	0.00240461,	0.00233377,	0.00226127,	0.0021872,	0.00211164,	0.00203468,	0.00195642,	0.00187695,	0.00179638,	0.0017148,	0.00163231,	0.00154902,	0.00146502,	0.00138042,	0.00129531,	0.00120979,	0.00112396,	0.00103791,	0.000951736,	0.000865519,	0.000779347,	0.000693302,	0.000607465,	0.000521908,	0.000436706,	0.000351925,	0.00026763,	0.000183883,	0.000100739,	1.82532e-05,	-6.35256e-05,	-0.000144551,	-0.00022478,	-0.000304174,	-0.000382696,	-0.000460315,	-0.000537,	-0.000612725,	-0.000687467,	-0.000761205,	-0.00083392,	-0.000905599,	-0.000976227,	-0.00104579,	-0.00111429,	-0.00118172,	-0.00124807,	-0.00131333,	-0.00137752,	-0.00144063,	-0.00150267,	-0.00156363,	-0.00162354,	-0.0016824,	-0.00174022,	-0.00179701,	-0.00185278,	-0.00190756,	-0.00196135,	-0.00201418,	-0.00206607,	-0.00211703,	-0.0021671,	-0.00221629,	-0.00226462,	-0.00231214,	-0.00235887,	-0.00240483,	-0.00245006,	-0.0024946,	-0.00253848,	-0.00258174,	-0.00262442,	-0.00266656,	-0.00270821,	-0.00274941,	-0.00279021,	-0.00283067,	-0.00287082,	-0.00291074,	-0.00295048,	-0.0029901,	-0.00302969,	-0.00306931,	
0.00355067,	0.00355066,	0.00354844,	0.00354354,	0.00353539,	0.00352462,	0.00351176,	0.00349684,	0.00347968,	0.00346018,	0.00343841,	0.00341443,	0.00338824,	0.00335985,	0.00332923,	0.00329639,	0.00326132,	0.003224,	0.00318444,	0.00314263,	0.00309858,	0.00305228,	0.00300376,	0.00295304,	0.00290015,	0.0028451,	0.00278794,	0.0027287,	0.00266743,	0.00260419,	0.00253903,	0.00247201,	0.0024032,	0.00233268,	0.00226053,	0.00218682,	0.00211164,	0.00203509,	0.00195725,	0.00187822,	0.0017981,	0.00171698,	0.00163497,	0.00155215,	0.00146864,	0.00138453,	0.00129992,	0.0012149,	0.00112957,	0.00104402,	0.000958339,	0.000872616,	0.000786935,	0.000701377,	0.00061602,	0.000530939,	0.000446206,	0.000361887,	0.000278047,	0.000194746,	0.000112041,	2.99865e-05,	-5.13692e-05,	-0.000131979,	-0.000211802,	-0.000290796,	-0.000368927,	-0.000446162,	-0.00052247,	-0.000597826,	-0.000672205,	-0.000745586,	-0.000817951,	-0.000889285,	-0.000959574,	-0.00102881,	-0.00109698,	-0.00116408,	-0.0012301,	-0.00129505,	-0.00135892,	-0.00142172,	-0.00148344,	-0.0015441,	-0.0016037,	-0.00166225,	-0.00171976,	-0.00177624,	-0.00183171,	-0.00188618,	-0.00193967,	-0.00199219,	-0.00204376,	-0.00209441,	-0.00214416,	-0.00219303,	-0.00224105,	-0.00228825,	-0.00233465,	-0.00238029,	-0.00242519,	-0.0024694,	-0.00251295,	-0.00255587,	-0.00259822,	-0.00264002,	-0.00268134,	-0.0027222,	-0.00276268,	-0.0028028,	-0.00284265,	-0.00288227,	-0.00292172,	-0.0029611,	-0.00300047,	-0.00303993,	
0.00355236,	0.00355235,	0.00354901,	0.00354295,	0.00353407,	0.00352279,	0.00350941,	0.00349395,	0.00347629,	0.00345639,	0.00343428,	0.00340998,	0.00338351,	0.00335485,	0.00332401,	0.00329097,	0.00325572,	0.00321827,	0.0031786,	0.00313671,	0.00309261,	0.00304631,	0.00299782,	0.00294716,	0.00289435,	0.00283943,	0.00278243,	0.00272339,	0.00266235,	0.00259936,	0.00253449,	0.00246779,	0.00239933,	0.00232919,	0.00225743,	0.00218415,	0.00210942,	0.00203334,	0.00195599,	0.00187746,	0.00179786,	0.00171727,	0.0016358,	0.00155353,	0.00147058,	0.00138703,	0.00130299,	0.00121854,	0.00113377,	0.00104879,	0.000963674,	0.000878513,	0.000793388,	0.000708381,	0.000623568,	0.000539024,	0.000454819,	0.00037102,	0.000287691,	0.000204892,	0.000122679,	4.11066e-05,	-3.97769e-05,	-0.000119925,	-0.000199295,	-0.000277847,	-0.000355545,	-0.000432357,	-0.000508251,	-0.000583202,	-0.000657185,	-0.000730178,	-0.000802164,	-0.000873125,	-0.000943049,	-0.00101192,	-0.00107974,	-0.00114649,	-0.00121218,	-0.00127679,	-0.00134033,	-0.0014028,	-0.0014642,	-0.00152454,	-0.00158382,	-0.00164206,	-0.00169926,	-0.00175543,	-0.00181058,	-0.00186474,	-0.00191792,	-0.00197013,	-0.0020214,	-0.00207174,	-0.00212118,	-0.00216974,	-0.00221744,	-0.00226433,	-0.00231041,	-0.00235573,	-0.00240032,	-0.0024442,	-0.00248743,	-0.00253003,	-0.00257205,	-0.00261353,	-0.00265452,	-0.00269507,	-0.00273521,	-0.00277503,	-0.00281456,	-0.00285388,	-0.00289305,	-0.00293215,	-0.00297128,	-0.00301054,	
0.00354972,	0.00354971,	0.00354565,	0.00353881,	0.00352936,	0.00351762,	0.00350378,	0.00348785,	0.00346977,	0.00344951,	0.00342708,	0.0034025,	0.00337577,	0.00334688,	0.00331584,	0.00328262,	0.00324723,	0.00320967,	0.00316992,	0.00312799,	0.00308388,	0.0030376,	0.00298917,	0.0029386,	0.00288593,	0.00283117,	0.00277437,	0.00271556,	0.00265479,	0.00259211,	0.00252758,	0.00246124,	0.00239319,	0.00232347,	0.00225217,	0.00217936,	0.00210514,	0.00202958,	0.00195277,	0.00187481,	0.00179579,	0.00171579,	0.00163492,	0.00155327,	0.00147094,	0.00138801,	0.0013046,	0.00122077,	0.00113664,	0.00105229,	0.000967796,	0.000883254,	0.000798745,	0.000714346,	0.000630133,	0.000546181,	0.000462558,	0.000379332,	0.000296565,	0.000214317,	0.000132645,	5.16006e-05,	-2.87659e-05,	-0.000108409,	-0.000187285,	-0.000265355,	-0.000342582,	-0.000418934,	-0.000494381,	-0.000568894,	-0.000642449,	-0.000715025,	-0.000786603,	-0.000857166,	-0.000926701,	-0.000995194,	-0.00106264,	-0.00112903,	-0.00119435,	-0.00125861,	-0.00132181,	-0.00138393,	-0.001445,	-0.00150501,	-0.00156397,	-0.00162188,	-0.00167875,	-0.00173461,	-0.00178945,	-0.0018433,	-0.00189616,	-0.00194807,	-0.00199902,	-0.00204906,	-0.00209819,	-0.00214644,	-0.00219384,	-0.00224042,	-0.00228619,	-0.0023312,	-0.00237548,	-0.00241905,	-0.00246197,	-0.00250425,	-0.00254596,	-0.00258712,	-0.00262779,	-0.00266802,	-0.00270785,	-0.00274735,	-0.00278657,	-0.00282558,	-0.00286445,	-0.00290327,	-0.00294213,	-0.00298113,	
0.00354305,	0.00354304,	0.00353854,	0.0035312,	0.00352133,	0.00350922,	0.00349499,	0.00347867,	0.00346023,	0.00343965,	0.00341695,	0.00339212,	0.00336517,	0.00333609,	0.00330488,	0.00327152,	0.00323603,	0.00319838,	0.00315859,	0.00311665,	0.00307256,	0.00302634,	0.00297801,	0.00292757,	0.00287507,	0.00282051,	0.00276395,	0.00270542,	0.00264496,	0.00258263,	0.00251847,	0.00245255,	0.00238494,	0.00231569,	0.0022449,	0.00217262,	0.00209895,	0.00202397,	0.00194776,	0.00187041,	0.00179202,	0.00171267,	0.00163245,	0.00155147,	0.00146981,	0.00138757,	0.00130483,	0.00122169,	0.00113824,	0.00105457,	0.000970756,	0.000886887,	0.000803044,	0.000719304,	0.000635743,	0.000552431,	0.000469439,	0.000386833,	0.000304674,	0.000223022,	0.000141933,	6.14595e-05,	-1.83492e-05,	-9.74473e-05,	-0.000175792,	-0.000253343,	-0.000330065,	-0.000405924,	-0.00048089,	-0.000554935,	-0.000628034,	-0.000700165,	-0.00077131,	-0.00084145,	-0.000910572,	-0.000978663,	-0.00104571,	-0.00111172,	-0.00117667,	-0.00124056,	-0.00130339,	-0.00136517,	-0.00142589,	-0.00148556,	-0.00154418,	-0.00160176,	-0.00165831,	-0.00171384,	-0.00176837,	-0.0018219,	-0.00187445,	-0.00192604,	-0.00197669,	-0.00202642,	-0.00207525,	-0.0021232,	-0.00217029,	-0.00221656,	-0.00226204,	-0.00230674,	-0.00235071,	-0.00239398,	-0.00243659,	-0.00247857,	-0.00251996,	-0.00256081,	-0.00260117,	-0.00264108,	-0.0026806,	-0.00271978,	-0.00275869,	-0.00279738,	-0.00283594,	-0.00287445,	-0.002913,	-0.0029517,	
0.00353267,	0.00353266,	0.00352789,	0.00352024,	0.00351009,	0.00349769,	0.00348316,	0.00346653,	0.0034478,	0.00342697,	0.00340403,	0.003379,	0.00335187,	0.00332263,	0.00329129,	0.00325784,	0.00322227,	0.00318458,	0.00314478,	0.00310286,	0.00305884,	0.00301271,	0.00296451,	0.00291424,	0.00286194,	0.00280763,	0.00275135,	0.00269313,	0.00263302,	0.00257107,	0.00250734,	0.00244187,	0.00237474,	0.00230602,	0.00223577,	0.00216407,	0.00209099,	0.00201663,	0.00194107,	0.00186438,	0.00178666,	0.001708,	0.0016285,	0.00154823,	0.00146729,	0.00138577,	0.00130376,	0.00122136,	0.00113864,	0.00105569,	0.000972605,	0.000889456,	0.000806326,	0.00072329,	0.000640423,	0.000557797,	0.000475479,	0.000393534,	0.000312024,	0.000231009,	0.000150542,	7.06775e-05,	-8.53658e-06,	-8.70541e-05,	-0.000164832,	-0.000241832,	-0.000318016,	-0.000393352,	-0.000467807,	-0.000541356,	-0.000613972,	-0.000685633,	-0.00075632,	-0.000826014,	-0.000894702,	-0.000962371,	-0.00102901,	-0.00109461,	-0.00115917,	-0.00122268,	-0.00128514,	-0.00134655,	-0.00140691,	-0.00146623,	-0.0015245,	-0.00158175,	-0.00163797,	-0.00169317,	-0.00174737,	-0.00180059,	-0.00185283,	-0.00190411,	-0.00195445,	-0.00200387,	-0.00205239,	-0.00210004,	-0.00214684,	-0.00219281,	-0.00223798,	-0.00228238,	-0.00232605,	-0.00236902,	-0.00241133,	-0.002453,	-0.00249409,	-0.00253463,	-0.00257468,	-0.00261428,	-0.00265348,	-0.00269234,	-0.00273092,	-0.00276929,	-0.00280752,	-0.0028457,	-0.00288391,	-0.00292225,	
0.00351886,	0.00351885,	0.00351395,	0.00350612,	0.00349578,	0.00348318,	0.00346843,	0.00345157,	0.00343262,	0.00341158,	0.00338847,	0.00336328,	0.00333601,	0.00330666,	0.00327523,	0.00324172,	0.00320612,	0.00316843,	0.00312865,	0.0030868,	0.00304287,	0.00299688,	0.00294884,	0.00289878,	0.00284672,	0.00279269,	0.00273672,	0.00267885,	0.00261913,	0.00255761,	0.00249433,	0.00242936,	0.00236276,	0.00229459,	0.00222492,	0.00215384,	0.0020814,	0.0020077,	0.00193282,	0.00185683,	0.00177984,	0.00170191,	0.00162315,	0.00154363,	0.00146346,	0.00138271,	0.00130147,	0.00121984,	0.00113789,	0.00105572,	0.000973395,	0.000891006,	0.000808628,	0.000726336,	0.000644204,	0.000562301,	0.000480695,	0.000399449,	0.000318626,	0.000238282,	0.000158473,	7.92518e-05,	6.65737e-07,	-7.7239e-05,	-0.00015442,	-0.000230837,	-0.000306454,	-0.000381238,	-0.000455156,	-0.000528183,	-0.000600291,	-0.000671458,	-0.000741665,	-0.000810892,	-0.000879126,	-0.000946353,	-0.00101256,	-0.00107775,	-0.0011419,	-0.00120501,	-0.00126708,	-0.00132811,	-0.00138811,	-0.00144706,	-0.00150499,	-0.00156188,	-0.00161776,	-0.00167264,	-0.00172651,	-0.0017794,	-0.00183133,	-0.0018823,	-0.00193233,	-0.00198144,	-0.00202966,	-0.00207701,	-0.0021235,	-0.00216918,	-0.00221405,	-0.00225816,	-0.00230153,	-0.0023442,	-0.00238621,	-0.00242758,	-0.00246836,	-0.0025086,	-0.00254834,	-0.00258762,	-0.0026265,	-0.00266504,	-0.00270329,	-0.00274132,	-0.0027792,	-0.00281702,	-0.00285486,	-0.00289281,	
0.00350189,	0.00350188,	0.00349693,	0.00348901,	0.00347857,	0.00346584,	0.00345094,	0.00343393,	0.00341482,	0.00339364,	0.0033704,	0.0033451,	0.00331774,	0.00328832,	0.00325685,	0.00322332,	0.00318772,	0.00315007,	0.00311036,	0.00306861,	0.00302481,	0.00297899,	0.00293116,	0.00288134,	0.00282955,	0.00277583,	0.00272022,	0.00266274,	0.00260344,	0.00254238,	0.0024796,	0.00241516,	0.00234911,	0.00228154,	0.00221249,	0.00214205,	0.00207029,	0.00199729,	0.00192312,	0.00184788,	0.00177164,	0.00169448,	0.0016165,	0.00153777,	0.0014584,	0.00137845,	0.00129803,	0.0012172,	0.00113606,	0.00105469,	0.000973172,	0.000891578,	0.000809988,	0.000728476,	0.000647112,	0.000565968,	0.000485107,	0.000404594,	0.000324489,	0.000244849,	0.00016573,	8.71822e-05,	9.25412e-06,	-6.80086e-05,	-0.000144563,	-0.000220371,	-0.000295394,	-0.0003696,	-0.000442957,	-0.000515437,	-0.000587015,	-0.000657667,	-0.000727372,	-0.000796113,	-0.000863875,	-0.000930642,	-0.000996405,	-0.00106115,	-0.00112488,	-0.00118759,	-0.00124926,	-0.0013099,	-0.00136951,	-0.0014281,	-0.00148566,	-0.00154221,	-0.00159774,	-0.00165228,	-0.00170582,	-0.00175839,	-0.00180999,	-0.00186065,	-0.00191037,	-0.00195918,	-0.00200709,	-0.00205414,	-0.00210033,	-0.00214571,	-0.00219029,	-0.0022341,	-0.00227718,	-0.00231955,	-0.00236125,	-0.00240233,	-0.00244281,	-0.00248274,	-0.00252216,	-0.00256112,	-0.00259968,	-0.00263788,	-0.00267579,	-0.00271347,	-0.00275099,	-0.00278842,	-0.00282586,	-0.00286338,	
