0.00884504,	0.00884503,	0.00889137,	0.00893706,	0.00895118,	0.00895017,	0.00894425,	0.008938,	0.00892516,	0.0089002,	0.00886383,	0.00881989,	0.00877098,	0.00871663,	0.00865639,	0.0085902,	0.00851853,	0.00844211,	0.00836045,	0.0082729,	0.00817904,	0.00807869,	0.00797149,	0.00785761,	0.00773713,	0.00761023,	0.00747719,	0.00733822,	0.00719352,	0.00704329,	0.00688743,	0.00672597,	0.00655904,	0.0063868,	0.0062094,	0.00602704,	0.00583995,	0.00564837,	0.00545263,	0.00525303,	0.00504974,	0.00484301,	0.00463307,	0.00442019,	0.00420464,	0.00398673,	0.00376675,	0.00354496,	0.00332161,	0.00309704,	0.00287151,	0.00264529,	0.00241863,	0.00219181,	0.00196506,	0.00173863,	0.00151273,	0.00128758,	0.00106339,	0.000840344,	0.00061862,	0.000398371,	0.000179753,	-3.70856e-05,	-0.000252008,	-0.000464893,	-0.000675624,	-0.000884099,	-0.00109023,	-0.00129392,	-0.00149511,	-0.00169373,	-0.00188971,	-0.00208302,	-0.00227361,	-0.00246145,	-0.00264652,	-0.00282879,	-0.00300826,	-0.00318492,	-0.00335878,	-0.00352984,	-0.00369811,	-0.00386361,	-0.00402636,	-0.00418639,	-0.00434374,	-0.00449844,	-0.00465053,	-0.00480006,	-0.00494708,	-0.00509165,	-0.00523382,	-0.00537366,	-0.00551123,	-0.00564662,	-0.00577989,	-0.00591112,	-0.00604041,	-0.00616784,	-0.00629352,	-0.00641752,	-0.00653998,	-0.00666099,	-0.00678067,	-0.00689913,	-0.00701652,	-0.00713295,	-0.00724856,	-0.00736348,	-0.00747784,	-0.00759176,	-0.00770535,	-0.00781862,	-0.0079316,	-0.00804333,	
0.0088271,	0.00882709,	0.00885867,	0.00889266,	0.00890466,	0.00890213,	0.00889427,	0.00888424,	0.00886797,	0.00884126,	0.00880434,	0.00876001,	0.00871029,	0.00865518,	0.00859434,	0.00852773,	0.00845573,	0.00837879,	0.0082966,	0.00820864,	0.00811453,	0.00801406,	0.00790699,	0.0077934,	0.00767337,	0.00754707,	0.00741474,	0.00727658,	0.00713278,	0.00698347,	0.00682865,	0.00666836,	0.0065027,	0.00633183,	0.00615592,	0.00597515,	0.00578975,	0.00559995,	0.00540606,	0.00520835,	0.00500703,	0.00480232,	0.00459446,	0.00438371,	0.00417035,	0.00395466,	0.00373694,	0.00351742,	0.00329638,	0.00307411,	0.0028509,	0.002627,	0.00240266,	0.00217814,	0.00195368,	0.00172952,	0.00150588,	0.00128295,	0.00106095,	0.000840066,	0.000620467,	0.000402309,	0.000185746,	-2.90764e-05,	-0.000242023,	-0.000452973,	-0.000661811,	-0.000868435,	-0.00107275,	-0.00127468,	-0.00147415,	-0.00167108,	-0.00186543,	-0.00205715,	-0.00224618,	-0.0024325,	-0.00261609,	-0.00279693,	-0.002975,	-0.0031503,	-0.00332282,	-0.00349259,	-0.00365959,	-0.00382386,	-0.00398541,	-0.00414428,	-0.00430048,	-0.00445406,	-0.00460506,	-0.00475353,	-0.00489951,	-0.00504305,	-0.00518422,	-0.00532308,	-0.0054597,	-0.00559414,	-0.00572649,	-0.00585682,	-0.00598521,	-0.00611177,	-0.00623658,	-0.00635974,	-0.00648136,	-0.00660155,	-0.00672043,	-0.00683812,	-0.00695474,	-0.00707042,	-0.00718531,	-0.00729953,	-0.00741323,	-0.00752654,	-0.00763958,	-0.00775242,	-0.00786506,	-0.00797719,	
0.00881168,	0.00881167,	0.00882947,	0.00884844,	0.00885512,	0.00885125,	0.00884149,	0.00882758,	0.00880743,	0.00877864,	0.00874118,	0.00869661,	0.00864626,	0.0085904,	0.00852895,	0.00846194,	0.00838959,	0.00831211,	0.00822932,	0.00814086,	0.00804642,	0.00794578,	0.00783881,	0.00772551,	0.00760597,	0.00748031,	0.00734874,	0.00721143,	0.00706854,	0.0069202,	0.00676645,	0.00660735,	0.00644301,	0.00627358,	0.00609922,	0.00592011,	0.00573648,	0.00554855,	0.0053566,	0.00516087,	0.0049616,	0.004759,	0.00455332,	0.00434482,	0.00413375,	0.00392039,	0.00370501,	0.00348787,	0.00326924,	0.0030494,	0.00282861,	0.00260713,	0.00238522,	0.0021631,	0.00194104,	0.00171924,	0.00149794,	0.00127733,	0.00105761,	0.000838963,	0.000621568,	0.000405576,	0.000191141,	-2.1596e-05,	-0.000232501,	-0.000441453,	-0.000648339,	-0.000853057,	-0.00105552,	-0.00125563,	-0.00145333,	-0.00164854,	-0.00184121,	-0.00203129,	-0.00221873,	-0.00240351,	-0.00258559,	-0.00276497,	-0.00294161,	-0.00311553,	-0.00328671,	-0.00345516,	-0.00362089,	-0.00378391,	-0.00394426,	-0.00410194,	-0.004257,	-0.00440946,	-0.00455937,	-0.00470677,	-0.00485171,	-0.00499424,	-0.00513442,	-0.00527231,	-0.00540797,	-0.00554148,	-0.00567292,	-0.00580235,	-0.00592988,	-0.00605558,	-0.00617954,	-0.00630188,	-0.0064227,	-0.0065421,	-0.0066602,	-0.00677713,	-0.00689301,	-0.00700798,	-0.00712217,	-0.00723573,	-0.00734879,	-0.00746149,	-0.00757397,	-0.00768632,	-0.0077986,	-0.0079109,	
0.00878818,	0.00878817,	0.00879585,	0.00880351,	0.00880417,	0.00879747,	0.00878511,	0.00876771,	0.0087442,	0.0087133,	0.00867492,	0.00862985,	0.00857891,	0.00852238,	0.00846036,	0.00839289,	0.00832012,	0.00824212,	0.00815877,	0.00806982,	0.00797505,	0.00787427,	0.00776738,	0.00765438,	0.00753532,	0.00741031,	0.00727951,	0.00714307,	0.00700113,	0.00685381,	0.00670118,	0.00654332,	0.00638035,	0.00621241,	0.00603966,	0.00586228,	0.00568048,	0.00549448,	0.00530454,	0.00511088,	0.00491373,	0.00471333,	0.00450992,	0.00430373,	0.00409504,	0.00388409,	0.00367115,	0.00345649,	0.00324036,	0.00302303,	0.00280475,	0.00258578,	0.00236637,	0.00214675,	0.00192715,	0.00170781,	0.00148892,	0.0012707,	0.00105334,	0.000837007,	0.000621885,	0.000408126,	0.000195882,	-1.47089e-05,	-0.000223514,	-0.000430413,	-0.000635294,	-0.000838056,	-0.00103861,	-0.00123686,	-0.00143275,	-0.0016262,	-0.00181715,	-0.00200556,	-0.00219139,	-0.00237459,	-0.00255514,	-0.00273303,	-0.00290823,	-0.00308074,	-0.00325055,	-0.00341767,	-0.00358212,	-0.00374389,	-0.00390301,	-0.00405951,	-0.00421341,	-0.00436475,	-0.00451357,	-0.00465991,	-0.00480381,	-0.00494532,	-0.00508451,	-0.00522144,	-0.00535616,	-0.00548876,	-0.00561929,	-0.00574785,	-0.00587451,	-0.00599937,	-0.00612251,	-0.00624404,	-0.00636407,	-0.0064827,	-0.00660005,	-0.00671624,	-0.0068314,	-0.00694566,	-0.00705917,	-0.00717206,	-0.00728448,	-0.00739657,	-0.00750847,	-0.00762031,	-0.00773222,	-0.00784436,	
0.00875472,	0.00875471,	0.00875573,	0.00875559,	0.00875085,	0.00874066,	0.00872529,	0.00870473,	0.00867834,	0.00864541,	0.00860585,	0.00856003,	0.00850842,	0.00845126,	0.00838866,	0.00832071,	0.00824748,	0.00816898,	0.00808514,	0.00799577,	0.00790072,	0.00779984,	0.00769305,	0.00758035,	0.00746178,	0.00733742,	0.0072074,	0.00707185,	0.0069309,	0.00678464,	0.00663318,	0.00647662,	0.00631507,	0.00614867,	0.00597758,	0.00580198,	0.00562207,	0.00543805,	0.00525017,	0.00505864,	0.0048637,	0.00466557,	0.00446448,	0.00426069,	0.00405443,	0.00384597,	0.00363555,	0.00342343,	0.00320987,	0.00299512,	0.00277942,	0.00256304,	0.0023462,	0.00212914,	0.00191209,	0.00169526,	0.00147886,	0.00126309,	0.00104814,	0.000834187,	0.000621398,	0.00040993,	0.000199931,	-8.4604e-06,	-0.000215115,	-0.000419912,	-0.000622742,	-0.000823503,	-0.0010221,	-0.00121846,	-0.0014125,	-0.00160415,	-0.00179335,	-0.00198007,	-0.00216424,	-0.00234584,	-0.00252484,	-0.00270121,	-0.00287495,	-0.00304603,	-0.00321447,	-0.00338025,	-0.00354339,	-0.0037039,	-0.00386179,	-0.0040171,	-0.00416984,	-0.00432005,	-0.00446777,	-0.00461304,	-0.00475591,	-0.00489641,	-0.00503462,	-0.00517059,	-0.00530438,	-0.00543606,	-0.0055657,	-0.00569339,	-0.0058192,	-0.00594323,	-0.00606556,	-0.0061863,	-0.00630555,	-0.00642341,	-0.00654002,	-0.00665548,	-0.00676992,	-0.00688349,	-0.00699631,	-0.00710853,	-0.0072203,	-0.00733176,	-0.00744307,	-0.00755437,	-0.00766584,	-0.00777769,	
0.00871198,	0.00871197,	0.00870873,	0.00870332,	0.00869416,	0.00868051,	0.00866212,	0.0086387,	0.00860979,	0.00857496,	0.0085341,	0.00848737,	0.00843501,	0.00837719,	0.00831403,	0.00824558,	0.00817188,	0.00809293,	0.00800866,	0.00791895,	0.00782368,	0.00772275,	0.0076161,	0.00750372,	0.00738565,	0.00726195,	0.00713273,	0.00699809,	0.00685815,	0.00671301,	0.00656278,	0.00640756,	0.00624747,	0.00608266,	0.00591328,	0.0057395,	0.00556152,	0.00537953,	0.00519376,	0.00500442,	0.00481173,	0.00461593,	0.00441723,	0.00421589,	0.00401213,	0.0038062,	0.00359836,	0.00338885,	0.00317791,	0.00296579,	0.00275274,	0.00253899,	0.00232478,	0.00211034,	0.00189588,	0.00168163,	0.00146777,	0.00125451,	0.00104202,	0.000830499,	0.000620095,	0.000410966,	0.00020326,	-2.88678e-06,	-0.000207346,	-0.00041,	-0.000610738,	-0.000809459,	-0.00100607,	-0.00120049,	-0.00139265,	-0.00158247,	-0.0017699,	-0.00195488,	-0.00213738,	-0.00231736,	-0.00249477,	-0.00266962,	-0.00284187,	-0.00301151,	-0.00317855,	-0.00334298,	-0.0035048,	-0.00366403,	-0.00382069,	-0.0039748,	-0.00412638,	-0.00427546,	-0.00442208,	-0.00456628,	-0.00470811,	-0.0048476,	-0.00498483,	-0.00511984,	-0.0052527,	-0.00538347,	-0.00551223,	-0.00563906,	-0.00576403,	-0.00588723,	-0.00600876,	-0.00612871,	-0.00624718,	-0.0063643,	-0.00648016,	-0.00659489,	-0.00670862,	-0.00682148,	-0.00693361,	-0.00704515,	-0.00715625,	-0.00726706,	-0.00737774,	-0.00748847,	-0.00759943,	-0.00771085,	
0.00866109,	0.00866108,	0.00865513,	0.0086461,	0.00863348,	0.00861676,	0.00859559,	0.00856964,	0.00853851,	0.00850192,	0.00845974,	0.00841201,	0.00835885,	0.00830037,	0.00823663,	0.00816768,	0.00809353,	0.00801417,	0.00792955,	0.00783958,	0.00774418,	0.00764326,	0.00753679,	0.00742477,	0.00730721,	0.00718418,	0.00705577,	0.00692207,	0.00678317,	0.0066392,	0.00649024,	0.00633641,	0.00617784,	0.00601466,	0.00584703,	0.00567511,	0.00549909,	0.00531917,	0.00513555,	0.00494844,	0.00475806,	0.00456462,	0.00436837,	0.00416951,	0.0039683,	0.00376496,	0.00355973,	0.00335287,	0.00314459,	0.00293516,	0.00272479,	0.00251373,	0.0023022,	0.00209042,	0.0018786,	0.00166696,	0.00145568,	0.00124497,	0.001035,	0.000825947,	0.000617969,	0.000411221,	0.000205847,	1.98345e-06,	-0.000200244,	-0.000400718,	-0.000599329,	-0.000795977,	-0.000990571,	-0.00118303,	-0.00137327,	-0.00156123,	-0.00174686,	-0.00193009,	-0.00211089,	-0.00228921,	-0.00246503,	-0.00263833,	-0.00280907,	-0.00297726,	-0.00314289,	-0.00330594,	-0.00346644,	-0.00362439,	-0.0037798,	-0.0039327,	-0.00408311,	-0.00423105,	-0.00437657,	-0.0045197,	-0.00466049,	-0.00479898,	-0.00493522,	-0.00506928,	-0.00520121,	-0.00533108,	-0.00545896,	-0.00558493,	-0.00570906,	-0.00583144,	-0.00595217,	-0.00607134,	-0.00618904,	-0.0063054,	-0.00642052,	-0.00653452,	-0.00664752,	-0.00675967,	-0.00687109,	-0.00698193,	-0.00709233,	-0.00720246,	-0.00731248,	-0.00742257,	-0.00753294,	-0.00764382,	
0.0086031,	0.00860309,	0.00859539,	0.00858383,	0.00856855,	0.00854926,	0.00852569,	0.00849753,	0.00846446,	0.00842626,	0.0083828,	0.00833407,	0.00828011,	0.00822096,	0.00815665,	0.00808722,	0.00801265,	0.00793295,	0.00784805,	0.00775789,	0.00766243,	0.00756159,	0.00745535,	0.00734372,	0.00722671,	0.00710438,	0.0069768,	0.00684406,	0.00670625,	0.00656347,	0.00641583,	0.00626343,	0.00610641,	0.0059449,	0.00577906,	0.00560903,	0.00543502,	0.00525719,	0.00507575,	0.00489091,	0.00470287,	0.00451184,	0.00431806,	0.00412173,	0.00392309,	0.00372237,	0.0035198,	0.00331562,	0.00311005,	0.00290333,	0.00269568,	0.00248734,	0.00227851,	0.00206943,	0.00186029,	0.00165129,	0.00144264,	0.00123451,	0.00102709,	0.000820538,	0.00061502,	0.000410686,	0.000207678,	6.12878e-06,	-0.000193836,	-0.000392099,	-0.000588554,	-0.0007831,	-0.000975647,	-0.00116611,	-0.00135442,	-0.0015405,	-0.0017243,	-0.00190575,	-0.00208483,	-0.00226149,	-0.00243569,	-0.00260741,	-0.00277664,	-0.00294336,	-0.00310756,	-0.00326924,	-0.0034284,	-0.00358505,	-0.00373921,	-0.00389089,	-0.00404012,	-0.00418693,	-0.00433134,	-0.0044734,	-0.00461314,	-0.00475062,	-0.00488589,	-0.00501899,	-0.00514999,	-0.00527896,	-0.00540596,	-0.00553107,	-0.00565436,	-0.00577593,	-0.00589585,	-0.00601423,	-0.00613117,	-0.00624677,	-0.00636113,	-0.00647439,	-0.00658666,	-0.00669808,	-0.00680877,	-0.00691888,	-0.00702856,	-0.00713797,	-0.00724728,	-0.00735667,	-0.00746636,	-0.00757657,	
0.00853889,	0.00853889,	0.00853001,	0.00851668,	0.00849936,	0.00847801,	0.00845242,	0.00842237,	0.00838763,	0.00834799,	0.00830336,	0.00825367,	0.00819892,	0.00813911,	0.00807427,	0.00800439,	0.00792946,	0.00784946,	0.00776436,	0.0076741,	0.00757864,	0.00747794,	0.007372,	0.0072608,	0.00714438,	0.00702278,	0.00689606,	0.00676431,	0.00662762,	0.00648607,	0.00633978,	0.00618886,	0.00603342,	0.00587362,	0.00570959,	0.00554149,	0.0053695,	0.0051938,	0.00501457,	0.00483202,	0.00464635,	0.00445776,	0.00426647,	0.0040727,	0.00387667,	0.00367859,	0.0034787,	0.00327722,	0.00307438,	0.0028704,	0.00266549,	0.00245989,	0.0022538,	0.00204744,	0.001841,	0.00163468,	0.00142867,	0.00122315,	0.0010183,	0.000814284,	0.000611253,	0.000409359,	0.000208742,	9.53386e-06,	-0.000188142,	-0.00038417,	-0.000578444,	-0.000770864,	-0.000961341,	-0.00114979,	-0.00133614,	-0.00152032,	-0.00170227,	-0.00188193,	-0.00205927,	-0.00223424,	-0.00240681,	-0.00257695,	-0.00274464,	-0.00290987,	-0.00307264,	-0.00323292,	-0.00339074,	-0.00354609,	-0.00369898,	-0.00384944,	-0.00399749,	-0.00414315,	-0.00428645,	-0.00442743,	-0.00456613,	-0.0047026,	-0.00483688,	-0.00496903,	-0.0050991,	-0.00522717,	-0.00535329,	-0.00547754,	-0.00559999,	-0.00572074,	-0.00583986,	-0.00595745,	-0.00607361,	-0.00618844,	-0.00630205,	-0.00641455,	-0.00652607,	-0.00663673,	-0.00674667,	-0.00685603,	-0.00696495,	-0.00707359,	-0.00718214,	-0.00729076,	-0.00739968,	-0.00750911,	
0.00846918,	0.00846917,	0.00845952,	0.00844492,	0.00842607,	0.00840308,	0.00837584,	0.00834422,	0.00830805,	0.00826716,	0.00822146,	0.00817089,	0.00811541,	0.008055,	0.00798966,	0.00791938,	0.00784414,	0.00776392,	0.00767868,	0.00758839,	0.00749301,	0.00739253,	0.00728693,	0.00717621,	0.00706042,	0.00693958,	0.00681377,	0.00668304,	0.00654749,	0.00640722,	0.00626231,	0.0061129,	0.00595909,	0.00580102,	0.00563883,	0.00547268,	0.00530274,	0.00512919,	0.00495219,	0.00477195,	0.00458867,	0.00440254,	0.00421377,	0.00402257,	0.00382915,	0.00363374,	0.00343654,	0.00323779,	0.00303769,	0.00283646,	0.00263432,	0.00243147,	0.00222814,	0.00202451,	0.00182078,	0.00161716,	0.00141381,	0.00121093,	0.00100867,	0.000807199,	0.000606675,	0.000407242,	0.000209036,	1.21888e-05,	-0.000183178,	-0.000376952,	-0.000569025,	-0.000759301,	-0.000947688,	-0.0011341,	-0.00131848,	-0.00150073,	-0.00168082,	-0.00185867,	-0.00203426,	-0.00220752,	-0.00237844,	-0.00254699,	-0.00271314,	-0.00287687,	-0.00303818,	-0.00319707,	-0.00335353,	-0.00350756,	-0.00365919,	-0.00380842,	-0.00395528,	-0.00409978,	-0.00424197,	-0.00438187,	-0.00451953,	-0.00465498,	-0.00478827,	-0.00491946,	-0.00504861,	-0.00517577,	-0.005301,	-0.00542439,	-0.00554601,	-0.00566593,	-0.00578424,	-0.00590103,	-0.0060164,	-0.00613045,	-0.00624329,	-0.00635502,	-0.00646577,	-0.00657566,	-0.00668482,	-0.00679339,	-0.00690151,	-0.00700935,	-0.00711706,	-0.00722485,	-0.0073329,	-0.00744144,	
0.00839457,	0.00839456,	0.00838438,	0.00836889,	0.00834889,	0.00832462,	0.00829607,	0.00826316,	0.00822579,	0.00818384,	0.00813721,	0.00808585,	0.00802971,	0.00796877,	0.007903,	0.00783238,	0.00775689,	0.00767651,	0.00759121,	0.00750096,	0.00740573,	0.00730553,	0.00720033,	0.00709016,	0.00697503,	0.006855,	0.00673012,	0.00660045,	0.00646609,	0.00632711,	0.00618363,	0.00603574,	0.00588358,	0.00572727,	0.00556696,	0.00540278,	0.00523491,	0.00506351,	0.00488877,	0.00471086,	0.00452997,	0.00434631,	0.00416007,	0.00397145,	0.00378067,	0.00358793,	0.00339344,	0.00319742,	0.00300006,	0.0028016,	0.00260223,	0.00240215,	0.00220157,	0.00200069,	0.0017997,	0.00159877,	0.0013981,	0.00119786,	0.000998206,	0.000799302,	0.000601299,	0.000404339,	0.00020856,	1.40883e-05,	-0.000178955,	-0.000370458,	-0.000560316,	-0.000748432,	-0.000934715,	-0.00111908,	-0.00130146,	-0.00148179,	-0.00165999,	-0.00183603,	-0.00200984,	-0.00218139,	-0.00235065,	-0.00251759,	-0.00268218,	-0.00284441,	-0.00300426,	-0.00316173,	-0.00331683,	-0.00346954,	-0.00361989,	-0.00376789,	-0.00391355,	-0.0040569,	-0.00419796,	-0.00433678,	-0.00447338,	-0.00460782,	-0.00474012,	-0.00487035,	-0.00499856,	-0.00512481,	-0.00524916,	-0.00537168,	-0.00549245,	-0.00561153,	-0.00572903,	-0.00584502,	-0.00595959,	-0.00607285,	-0.00618489,	-0.00629584,	-0.00640579,	-0.00651488,	-0.00662323,	-0.00673098,	-0.00683826,	-0.00694524,	-0.00705207,	-0.00715894,	-0.00726604,	-0.00737358,	
